filename,community,benefit_hits,risk_hits,class_thr1,benefit_anchors_fired,risk_anchors_fired
FULLTEXT01-2.pdf,2,5,0,benefit_only,belonging|engagement|productivity|satisfaction|support,
FULLTEXT01.pdf,4,5,0,benefit_only,trust|engagement|collaboration|inclusion|support,
Fonner-CommMonogr12.pdf,1,3,2,both,autonomy|flexibility|belonging,isolation|stress
Fostering a culture of belonging within women working in a hybrid.pdf,4,3,0,benefit_only,belonging|satisfaction|inclusion,
From_home_to_office_dynamics_.pdf,0,4,3,both,flexibility|engagement|well-being|support,burnout|exhaustion|stress
G22THFL-034862T.pdf,2,0,0,neither,,
GSCARR-2024-0261.pdf,2,5,0,benefit_only,flexibility|engagement|well-being|satisfaction|collaboration,
Gender_differences_in_remote_w.pdf,0,2,2,both,well-being|productivity,conflict|stress
HPSCONF-V21-1-18.pdf,4,8,1,both,autonomy|flexibility|trust|engagement|productivity|satisfaction|collaboration|support,conflict
"Healthy,_healthier,_hybrid_wor.pdf",0,5,3,both,autonomy|well-being|productivity|satisfaction|collaboration,burnout|stress|strain
Hewitt+Note+-+Panoptic+Employment+8.8.24.pdf,5,1,2,both,productivity,surveillance|monitoring
How_and_When_Technostress_Pred.pdf,1,2,4,both,well-being|productivity,technostress|conflict|exhaustion|stress
How_far_can_I_trust_you_Under.pdf,0,1,1,both,trust,conflict
Human Behavior and Emerging Technologies - 2024 - Laksanadjaja - Uncovering the Web of Secrets Surrounding Employee.pdf,5,4,3,both,trust|well-being|productivity|satisfaction,surveillance|stress|monitoring
Human Behavior and Emerging Technologies - 2025 - Massa - E%E2%80%90Skill Self%E2%80%90Efficacy and Perceived Performance in Remote Work  A.pdf,3,4,3,both,autonomy|flexibility|well-being|productivity,technostress|overload|stress
Human_Centric_Digital_Transformation_and_Operator_4.0_for_the_Oil_and_Gas_Industry.pdf,0,1,1,both,support,conflict
Hybrid workers describe aspects that promote effectiveness  work engagement  work-life balance  and health.pdf,3,6,0,benefit_only,autonomy|flexibility|engagement|well-being|collaboration|support,
Hybrid_working_–_Benefits_and_.pdf,0,2,1,both,well-being|productivity,burnout
"IJEMR+vol.+4,+no.+3,+Page+426-437.pdf",1,4,4,both,flexibility|well-being|satisfaction|support,burnout|technostress|isolation|stress
IJETCSIT-V6I3P108.pdf,4,4,7,both,trust|engagement|productivity|collaboration,burnout|fatigue|overload|conflict|stress|monitoring|strain
IJSRA-2025-2470.pdf,2,8,1,both,flexibility|trust|belonging|engagement|well-being|productivity|collaboration|commitment,isolation
ILR-161-289.pdf,2,3,3,both,flexibility|well-being|support,surveillance|isolation|monitoring
Ibrahim.pdf,0,6,5,both,flexibility|engagement|well-being|productivity|inclusion|support,burnout|technostress|overload|stress|strain
Impact_of_employee_well-being_.pdf,0,2,2,both,flexibility|well-being,isolation|stress
"Impact_of_stress,_job_satisfac.pdf",0,6,2,both,flexibility|well-being|satisfaction|collaboration|inclusion|support,conflict|stress
Impact_of_work_from_home_on_work_life_ba.pdf,3,1,1,both,support,conflict
Inclusion_and_Psychological_Sa.pdf,4,5,0,benefit_only,belonging|well-being|inclusion|support|commitment,
Information Systems Journal - 2023 - Meier - Cooking a telework theory with causal recipes  Explaining telework success.pdf,0,1,3,both,satisfaction,conflict|exhaustion|stress
Int J Management Reviews - 2025 - Ferdous - An integrated framework of remote work from organizational adoption to employee.pdf,3,1,2,both,well-being,isolation|stress
J Management Studies - 2025 - Tr%C3%B6ster - How Hybrid Work Shapes Communication Ties  The Role of Concern about Relationship.pdf,4,0,1,risk_only,,isolation
J Occupat   Organ Psyc - 2024 - Scheibe - Age%E2%80%90related differences in the use of boundary management tactics when.pdf,1,2,1,both,productivity|support,isolation
JABS-2024JanMappingtheexperiencesofwork-life.Scopus.pdf,0,5,4,both,flexibility|engagement|well-being|productivity|commitment,isolation|overload|conflict|exhaustion
JFerreras_Dissertation_Fall2024.pdf,3,0,0,neither,,
Journal of Advanced Nursing - 2021 - Terkamo%E2%80%90Moisio - Towards remote leadership in health care  Lessons learned from an.pdf,4,4,0,benefit_only,trust|satisfaction|collaboration|inclusion,
Keser-Ertemsir-Basol.pdf,1,4,3,both,well-being|productivity|satisfaction|support,burnout|isolation|stress
Leadership in virtual work settings  what we know  what we do not know  and what we need to do.pdf,4,2,0,benefit_only,satisfaction|collaboration,
Lechner%20%2B%20Tobias%202021OD_How%20to%20create%20psychological%20safety%20in%20virtual%20teams_Accepted%20Manuscript%20%281%29.pdf,4,3,0,benefit_only,trust|collaboration|support,
Manager_Control_and_Employee_Isolation_I.pdf,1,2,3,both,autonomy|productivity,isolation|stress|monitoring
Managing_Performance_and_Building_Digital_Trust_in.pdf,2,8,1,both,autonomy|flexibility|trust|engagement|well-being|productivity|satisfaction|collaboration,monitoring
Manuscript.pdf,2,5,2,both,autonomy|well-being|productivity|collaboration|support,technostress|stress
Manuscript_IRJMS_01841_WS.pdf,2,5,4,both,flexibility|engagement|well-being|productivity|satisfaction,burnout|conflict|exhaustion|stress
Master_Thesis_Final_-_Layal_Alkhatib_and_Arsaf.pdf,4,2,1,both,flexibility|support,monitoring
Master_Thesis_PabloVelazco_RaffaelBless_1.pdf,4,3,0,benefit_only,trust|collaboration|support,
MelusoJohnsonBagrow2021FlexibleEnvironmentsforHybridCollaboration.pdf,2,2,2,both,flexibility|collaboration,fatigue|isolation
Navigating_the_change_explori.pdf,0,6,1,both,autonomy|trust|productivity|satisfaction|collaboration|support,stress
New Technol Work Employ - 2023 - Wieser - Employee acceptance of digital monitoring systems while working from home.pdf,5,1,2,both,trust,surveillance|monitoring
New Technol Work Employ - 2024 - Williams - Framing algorithmic management  Constructed antagonism on HR technology.pdf,0,2,2,both,autonomy|productivity,surveillance|monitoring
Organizational_identification_among_virt.pdf,4,1,2,both,support,isolation|stress
Osuva_Myllymäki_Smale_Sumelius_2024.pdf,3,3,1,both,trust|engagement|support,monitoring
Out of sight out of mind? Remote work and contractual distancing.pdf,2,5,1,both,autonomy|trust|well-being|productivity|inclusion,isolation
PAGANIN+Videoconference+fatigue+AM.pdf,1,1,5,both,well-being,burnout|technostress|fatigue|exhaustion|stress
Paper+2+(2023.5.6)+Assessing+the+Impact+of+a+Hybrid+Work+Model+on+Job+Execution+....pdf,3,7,1,both,flexibility|engagement|well-being|productivity|satisfaction|collaboration|inclusion,stress
PersonnelPsychology-2022-Ravid-AmetaE28090analysisoftheeffectsofelectronicperformancemonitoringonworkoutcomes.pdf,5,5,2,both,autonomy|productivity|satisfaction|support|commitment,stress|monitoring
Piirsalu_Kivihall_Makiniemi_2025.pdf,1,5,3,both,autonomy|flexibility|well-being|collaboration|support,overload|stress|strain
Productive and connected while working from home  what client-facing remote workers can learn from telenurses about  belonging through technology .pdf,2,6,2,both,autonomy|flexibility|belonging|wellbeing|productivity|support,isolation|stress
Promoting_health_and_productiv.pdf,1,5,4,both,engagement|well-being|productivity|satisfaction|collaboration,technostress|surveillance|stress|monitoring
PsychologicalCapitalandBurnout_GKMC.pdf,0,5,6,both,autonomy|flexibility|engagement|productivity|satisfaction,burnout|isolation|overload|conflict|exhaustion|stress
Psychosocial_safety_climate_Measurement.pdf,1,6,4,both,engagement|well-being|productivity|collaboration|support|commitment,burnout|exhaustion|stress|strain
Public_management_strategies_f.pdf,0,5,1,both,autonomy|flexibility|productivity|satisfaction|support,exhaustion
REPUB_84468_OA.pdf,3,2,2,both,productivity|collaboration,overload|conflict
Reducing_employee_burnout_in_t.pdf,4,2,3,both,trust|support,burnout|isolation|stress
Remote Workers Ever-Present Risk.pdf,5,2,2,both,productivity|inclusion,surveillance|monitoring
Remote work and work-life balance  Lessons learned from the covid-19 pandemic and suggestions for HRD practitioners.pdf,2,3,2,both,well-being|satisfaction|support,technostress|stress
RemoteWorkingBurnout_EmpiricalStudyfromTOEandTechnostress.pdf,2,5,4,both,flexibility|productivity|inclusion|support|commitment,burnout|technostress|isolation|stress
Remote_Work_Impact_on_Workplac.pdf,4,6,1,both,trust|engagement|well-being|productivity|collaboration|support,isolation
Remote_Worker's_Psychological_.pdf,4,6,1,both,flexibility|trust|engagement|well-being|collaboration|support,stress
Remotework.pdf,2,3,1,both,trust|productivity|satisfaction,overload
Remotework2025.pdf,3,6,0,benefit_only,autonomy|engagement|well-being|satisfaction|collaboration|support,
Remoteworkandhumanresourcemanagement.pdf,2,7,2,both,flexibility|engagement|well-being|productivity|satisfaction|collaboration|support,burnout|monitoring
Restoring Reasonable Expectations to Privacy at Work in the Face.pdf,5,3,1,both,autonomy|inclusion|support,monitoring
Revolutionizing work-life balance  Unleashing the power of telecommuting on work engagement and exhaustion levels.pdf,1,2,3,both,engagement|well-being,overload|conflict|exhaustion
Reworking boundaries in the home-as-office  boundary traffic during COVID-19 lockdown and the future of working from home.pdf,2,3,1,both,flexibility|satisfaction|support,stress
Roberts_L_2023_EdD.pdf,4,0,0,neither,,
Ruigrok & Schäfer_Together but still alone.pdf,4,3,0,benefit_only,autonomy|collaboration|commitment,
SJWEH-51-53.pdf,1,2,1,both,well-being|productivity,monitoring
Sai+Praveen+Kudapa_Procedia_2025_801–832.pdf,2,4,0,benefit_only,productivity|collaboration|inclusion|support,
Sbalzer-KM-111.pdf,5,4,3,both,flexibility|trust|satisfaction|collaboration,surveillance|conflict|monitoring
Social   Personality Psych - 2023 - Stavrova - Does remote work erode trust in organizations  A within%E2%80%90person investigation.pdf,2,7,2,both,autonomy|flexibility|trust|engagement|satisfaction|collaboration|commitment,burnout|isolation
Sociology Compass - 2022 - Karjalainen - Gender and the blurring boundaries of work in the era of telework A longitudinal.pdf,1,1,0,benefit_only,well-being,
TEMJournalFebruary2025_823_835.pdf,4,2,2,both,satisfaction|collaboration,conflict|stress
TPM-V32-S3-2025-90.pdf,3,3,7,both,flexibility|engagement|productivity,burnout|fatigue|overload|conflict|exhaustion|stress|strain
Technostress_and_Telecommuting_in_the_Co.pdf,1,2,5,both,productivity|support,technostress|fatigue|overload|exhaustion|stress
Technostress_and_perceived_disadvan.pdf,3,3,3,both,flexibility|engagement|satisfaction,technostress|stress|strain
Technostress_and_work_exhaustion_unravel.pdf,2,5,6,both,flexibility|well-being|productivity|satisfaction|commitment,technostress|fatigue|overload|conflict|exhaustion|stress
Telecommuting_Professional_Isolation_and.pdf,1,1,1,both,flexibility,isolation
Telecommuting_and_Leadership_Style_Publi.pdf,1,2,1,both,satisfaction|commitment,isolation
Telework and Organizational Citizenship Behaviors_ The Underexplo.pdf,1,1,1,both,satisfaction,isolation
Telework_Perception_and_Implications_dur.pdf,1,2,0,benefit_only,autonomy|support,
Teleworking_role_of_psycholog.pdf,0,6,4,both,flexibility|trust|belonging|wellbeing|well-being|satisfaction,technostress|isolation|stress|strain
Tesi_dottorato_Massa.pdf,1,3,3,both,autonomy|well-being|satisfaction,overload|exhaustion|stress
The Impact of Work Setting Autonomy and Belonging on Employees?.pdf,3,4,0,benefit_only,autonomy|belonging|satisfaction|inclusion,
The effectiveness of well-being-oriented human resource management in the context of telework.pdf,1,5,2,both,autonomy|engagement|well-being|satisfaction|support,isolation|strain
The impact of remote work and mediated communication frequency on isolation and psychological distress.pdf,2,4,3,both,wellbeing|satisfaction|inclusion|support,isolation|stress|strain
TheEvolutionofRemoteWorkAnalyzingStrategiesforEffectiveVirtualTeamManagementandCollaboration.pdf,2,4,0,benefit_only,flexibility|trust|productivity|collaboration,
TheSilentStruggle_UncoveringDigitalStressinHybridWork.pdf,3,5,3,both,flexibility|wellbeing|well-being|productivity|inclusion,isolation|exhaustion|stress
The_Corporate_Brand_Identity_in_a_Hybrid_Workp.pdf,3,1,0,benefit_only,support,
The_Psychology_of_Hybrid_Work_Understand.pdf,3,9,5,both,autonomy|flexibility|trust|engagement|well-being|productivity|satisfaction|collaboration|support,burnout|fatigue|overload|stress|strain
The_moderating_role_of_remote_.pdf,0,4,0,benefit_only,well-being|satisfaction|support|commitment,
The_telework_performance_dilem.pdf,0,7,4,both,autonomy|flexibility|trust|well-being|productivity|collaboration|support,fatigue|isolation|overload|conflict
Theeffectsoftechnostressorsonworkandnon-workoutcomesinhybridwork.pdf,3,2,3,both,flexibility|support,technostress|exhaustion|stress
Theorizing the Effect of Organizational Identification on Vacatio.pdf,2,0,2,risk_only,,burnout|stress
Togetherness and (work)Place: Insights from Workers and Managers during Australian COVID-Induced Lockdowns.pdf,2,6,0,benefit_only,flexibility|belonging|wellbeing|productivity|collaboration|support,
Towards_a_sustainable_workplac.pdf,0,4,2,both,trust|wellbeing|productivity|support,isolation|loneliness
Turnitin%20The%20impact%20of%20digital%20fatigue%20on%20employee%20productivity%20and%20well-being.pdf,3,0,0,neither,,
Understanding_teleworkers’_tec.pdf,0,4,3,both,flexibility|satisfaction|collaboration|support,technostress|stress|strain
Understanding_the_Moderating_E.pdf,4,2,1,both,trust|support,exhaustion
Voluntary_part-time_and_mandat.pdf,0,8,3,both,autonomy|trust|well-being|productivity|satisfaction|collaboration|support|commitment,isolation|conflict|stress
Wellbeing_Remote.pdf,3,7,2,both,flexibility|engagement|wellbeing|well-being|productivity|satisfaction|collaboration,burnout|stress
What_is_healthy_hybrid_work_E.pdf,0,4,0,benefit_only,wellbeing|well-being|collaboration|support,
Wilson 2023 Authoritarian Leadership Style and Psychological Safety.pdf,4,5,1,both,trust|belonging|well-being|inclusion|support,stress
Work engagement and its antecedents in remote work  A person-centered view.pdf,2,4,1,both,autonomy|engagement|well-being|support,stress
Work from home can be distracting  Exploring the moderation role of transformational leadership on teleworking and cyber-slacking.pdf,1,2,2,both,flexibility|productivity,fatigue|stress
Work life balance in the digital era  configuring demands and resources at work.pdf,3,5,3,both,engagement|well-being|productivity|support|commitment,overload|conflict|stress
a965102-030(2023).pdf,5,2,3,both,flexibility|productivity,burnout|isolation|monitoring
